类型,ID/标题,发布日期,字数/点赞,浏览量/含金量,详细内容/长文摘要
实战推文,2001225989846872549,Wed Dec 17,点赞 17,评分 7.1,这里有个bug  假设这个说可以帮忙搞定上币安的就是内部的人呢？你该不该信？  作为一个项目方（尤其是后付），你当下的最优解其实还是相信“宁有其事”（除非你真的了解流程），即使你做的事是对的，因为当你啥都不知道的时候，你会为了提高上所的概率做任何事情  你说举报？要是上了的话，你举报来干嘛？你要是没上的话，那你去举报来干嘛？（没付钱）  我听到的中介说自己里面有人？哎 你说那我给给黑名单  中介嘛？换了名字还是一样芬芳  攘外必先安内 - 看起来这次的杀鸡儆猴还没结束呢～
实战推文,1958022938327724512,Wed Aug 20,点赞 7,评分 6.5,怎么说呢？交易所现在是把我们当“猴”耍了吗？   三周前有一个top10的交易所找到我们，要求协助token swap 到 #pundiai ，并且在tg说，swap之后就会开启交易 #pundiai   然后为了要完成所有的swap和上币，要通过一系列的安全检查（这个无可厚非）以及填所有的上币表格等等   前前后后花了10天的时间，团队按要求完成了智能合约升级和修改，然后回答n多问题、填表，终于在前天完成了要求。  昨天去询问上币的时间，结果你猜怎么着？ 交易所的负责人说：哦，不好意思，我们不能支持上币......   更骚的操作的是：交易所这里还“edit”之前发的tg的信息？！ come on....  你以为我们瞎吗？  这是开玩笑吗？还是你觉得我们傻啊？ 在宣扬trustless的行业，结果最不能信的是行业里的人  祝你们生意兴隆，生活辛福美满
实战推文,1978111427627061376,Tue Oct 14,点赞 7,评分 5.8,交易所就是一门生意，没有谁比谁高贵  只能说现在大所的上币费都不是以“上币费”的名义出现  另外，不管真假，不到万不得已，何苦走到“公众审判”的面前，不是你“揭竿起义”不好，而是你可以有其他的路径获得你想要的结果  bless you
实战推文,1978103294460342416,Tue Oct 14,点赞 11,评分 5.8,@cryptopainter @trylimitless 不管是韩所、bn、cb，还是其他的所，都是一门生意，没有谁比谁高贵  就像老婆饼里没有老婆，所有的上币费的名目都不叫“上币费”，就看你能不能绕过  只有你足够强了，你才有议价能力
实战推文,1993235758380204110,Tue Nov 25,点赞 19,评分 6.5,其实仔细一想， @binance 没一开盘就上 @monad $mon 反而对双方都是好的  对于bn来说，已知monad一开始有这么多的抛盘，那倒不如先让市场消化一下，而且现在这个版本的现货交易量也不大，也没什么搞头；反正合约也有了，还是能吃到手续费  而且bn估计之前被大项目坑怕了，“先观察”一阵再说 —— 这也符合这两周bn的上币策略，先观察  对于monad来说，原来这几周的市场情绪就不好，现在还可以吊着一个未来上bn的预期，也不至于一波预期打完  至于空投什么的，等到时间到了，都会上的（too big to be ignored) - 不是项目方想开了给筹码，就是交易所想开了
实战推文,1990707777602564242,Tue Nov 18,点赞 14,评分 6.4,之前承诺给大家的——解锁一个新币套保的新姿势，整理之后发出来公共频道了  https://t.co/gjGiwa7wsJ  还是那句话，建议你看，不建议你操作  ps：所谓的订阅频道其实就是我的twitter subscription - 因为费用太高了，我实在是不好意思推.....只能发点术业相关的给他们
实战推文,1937399381575237754,Tue Jun 24,点赞 2,评分 5.8,@YeruiZhang 我说一个远古时期的都市传说 有人当时还说sei是某个大所的亲儿子（后来知道不是）... 因为据说韩所的上币是某个大所的领导直接联系的  据说当年的去中心化nasdaq就是该大领导的手笔之一  还有一个神奇的事情，就是当年某大所刚开始做钱包业务对接公链的时候，第一阶段支持3个链之外，sei赫然就在其中
实战推文,1906910054596624639,Tue Apr 01,点赞 2,评分 6.5,看大家对这个话题还蛮活跃的，我再展开说一点  1. 本质上是商业模式决定bd策略，除了一线/1.5线大所外，大部分的所的手续费收入都不够养活团队，或者激励团队  2. 对于这些交易所，他们就需要不断地上新项目，其中最有效的激励措施就是“业务佣金”即你签下一个单子得多少钱（再配合末位淘汰），这类型的交易所就会有很多bd（比如lxxxx，bxxxx)所以你就在各种场合看到他们的身影  3.对于1/1.5线的大所，已经过了温饱线了，更看重声誉和合规，不要因为走错一步把会下金蛋的母鸡杀了  4.离岸的1/1.5线大所，相对来说就比较野一点，花样比较多  5.再说一点，在美国合规的框架下，上币本质上是个中立的上市新闻，不应该在上币之时给任何一方输送利益（包括交易所代币的holder）  6.先说道这里，大家感兴趣的话，我有空再多说一些
实战推文,1971208713622143192,Thu Sep 25,点赞 5,评分 5.8,不是现在链上的新晋meme不香了，只是meme把自己搞成了vv币，在cex不接盘（上币），管你什么公平发射/叙事都是苍白无力的….  不是现在的vc币香了，只是cex把meme庄币压缩流通量的那套用上了，要什么公平发射，要能拉盘…  虽然最后大多都会浇给，但是至少tge前期项目方/vc没办法走掉，cex一看，你也没收益，就准了…
实战推文,2100513727883665906,Thu Sep 17,点赞 24,评分 6.9,感谢各位老板的抬爱和支持，token 2049期间Danny的 #stockperps substack书友会的赞助商、合作方、地点等都已经确定好了  没想到这么多人有兴趣一起搞搞～   各位substack尊贵的付费用户们，这几天可以留意下邮箱哈～ （注意：不是每一位付费都会收到邮件哈，所以不要因为想参加所以来付费，真心不保证）  细节之后补上～ 我只能说这次的安排十分炸裂，必定是token 2049独一份的边会  从合作方、活动选址、活动主题、甚至酒水都非常的有讲究 0·0   现在要想的是，分享会上要爆个什么料才能不枉费大家的期待 🤣
实战推文,2100397585609748632,Thu Sep 17,点赞 0,评分 7.4,不同的视角看待不同角度的“上币费”（不谈什么腐败/undertable/中间人）  我感觉就有点类似之前西贝的预制菜风波… 角度和定义的不同  对于西贝来说，提前卤好的牛肉，冷冻的西兰花是前置处理，不是预制菜；但对大众来说，只要不是当场做的就是预制菜  其实两边都有道理的，但就是没办法调和  对于交易所来说，合同里确实没有上币费这一明目；  但对项目方来说不管明细是什么…营销费用，空投，管理费用，流动性，抵押金bla bla bla 只要是从我口袋出去的（尤其交易所还规定币的floor price限制，所以发出去的币还得买回来，就是费用），所以对项目方来说这其实就是上币费   这个是基本没办法调和的角度问题 - 技术/合规上，确实没有上币费这一栏，但你上币难道不做活动吸引流量吗？这些预算都是为了让你的币有交易量有活跃度- 可是ho，很多项目方可不是这么想的，他们就觉得这是交易所换着一个花样来跟我收钱而已  一方觉得，我这个钱可是花在你身上的啊，我又不用； 另一方觉得我这个项目需不需要营销难道我不知道吗？还需要你来安排？而且你说是不是每个项目都需要营销费用？你看看meme… 上线之后有营销吗？  交易所有平台币要赋能，有用户要照顾，出事了还要扛风险，保险金亏了要赔钱… 都是商业机构，收点营销费用合情合理  项目方呢？上币是为了赚钱，现在反而搭进去这么多，几百万的营销/流动性，到最后都是亏着出来，成本都不够cover，那你说上来干嘛？所以这也导致收割的方式越来越“创新”（参靠鄙人的合约镰刀系列）  这就陷入了一个三输的境地- 项目方赚不到钱；交易所也赚不到钱；用户被割  也许是时候重新审视这种模式了  交易所的本意是想帮项目方花大预算造势； 项目方收获流量，流动性和价格（大家想一下19-22年的ieo，launchpad/pool）  所以项目方才前赴后继的花钱，撒币；用户才乐此不彼参与.  但这毕竟是ieo时代的黄金坑，这一套的打法在当时确实非常有效，但此一时彼一时，这套打法的边际收益越来越低了，甚至都是负数了  这是时代的演进，也是行业的印记，都是我们的来时路  stock perp，rwa都来了，新的上币模式还远吗？
实战推文,1923016464870801829,Thu May 15,点赞 7,评分 7.8,项目方须知 fun fact 2/n  1. 怎么快速判断交易所的大小？ 用户沉淀资金的规模（尤其是稳定币）  2. 怎么快速判断交易所的真实活跃度？ 看链上转账记录，尤其是稳定币 （我这篇出去之后，有可能会被game）  3. 为什么vc现在对要压估值上交易所也ok？ 既然赚钱无望，那好歹给个“交代”，心照不宣  4.市场的流动性在哪里？ 现货就靠初始流动性；流动性都在合约，没有合约的现货，上了也就这样  5. 听说一些“大所”的现货交易量不行？ 只要你不是天王级项目，一上来1b的估值，300m的mc，那就是你没找对方法；或者专业的说法叫做，社区宣发与流动性错配  今天也够话痨了，再说个小故事就收工  在dubai的时候，跟一个已经在 bybit上币的小伙伴聊天，他就说现在流动性很差，我还特意看了一下，觉得mc不高、产品twitter什么的也不错，不应该啊... 遂问了他的社区在哪里 ——结果他说，他们在xxxx，之前还做了大规模的空投和社区活动  我听完一口82年的雪碧差点吐出来，come on 你稍微花点时间了解一下就知道bybit主要的社区是： CIS (俄罗斯/乌克兰），韩国和土耳其，你的社区不在这些地方，而且压根不针对这几个地方宣发，你这个确实是把钱都用在了刀把儿上.  坐在他旁边的cmo马上脸青.... 再然后就v了我50 🤣  p/s：bybit没付我广告费
实战推文,1922898955945246860,Thu May 15,点赞 5,评分 5.0,我去 还真的有人愿意v我50 点赞多的话 我一会儿说一点关于近期项目方上币listing的fun fact  应该是中文圈第一个关于这个的讨论
实战推文,1900037643209236642,Thu Mar 13,点赞 3,评分 7.0,"Binance获得MGX基金支持的幕后推手  投资这个事情必须是“两情相悦”的，一方面，Binance接受投资这个事情首先必须是大股东要同意 —— 就是CZ要say yes；另一方面，MGX背靠阿布扎比“超级”主权基金（估算管理资产规模快上万亿美金）手里的portfolio也是多如牛毛，凭什么看上？  Binance作为宇宙大所，其盈利能力/品牌/行业影响力/行业壁垒都是毋庸置疑的，财务支持已经不是当前的需求，那么他们要的是什么呢？Peter Thiel 在《0到1》这本书有一个观点就是，所有在利润在10亿以上的生意到最后都不可避免的与政治产生链接。Binance此举除了是给所有人”信心“之外，更重要的是给自己找个“山头“，让自己再不是无根浮萍。  中东主权基金（科威特除外）的风格就是要投（参与）最大、最强、最有影响力的项目，而这个项目最好还具有“唯一性”，财务回报固然重要，但是更重要的是具有前瞻性的以及“能影响世界”的项目。  像相亲的双方拿着checklist来审视对方一样，不论是相貌、家世、品性等等方面都完美契合，但是有情人是否终成眷属呢？  这里要说一下中东地区的谈判习惯。中东地区的谈判文化具有鲜明的地域特色，尤其在阿布扎比、迪拜等金融和商业中心，谈判风格融合了传统阿拉伯文化与继承自英国的现代商业实践 —— 说直白一点就是，在谈判的时候阿拉伯文化（人际关系至上，社会等级/地位森严）；在签字的时候白字黑字，不过后面执行的时候就....  在中东待过的都知道，没有中间人的介绍，很难接触到话事人，而且你会在路上遇到n个号称“有门路”的中间人，怎么筛选成了关键。其次就是中东地区更看重个人信誉和个人关系，这个关系的培养是一份山高水远的事情。  这里就不得不提到一个人，@_RichardTeng , Binance的现任CEO。他的背景本文就不多论述，网上有详细的介绍，我这里就说两点，其一他是新加坡精英教育的代表，精通中英文（甚至福建话）在新加坡金融管理局MAS和SGX新加坡交易所担任要职；其二，离开SGX之后去了阿布扎比ADGM阿布扎比国际金融中心，任职期间把将ADGM从0做到10，是为数不多能打开中东证券市场的华人。  新加坡精英官员出身，又曾在中东地区作出成绩，加之对东西方商业文化的深刻理解，让Richard（盲猜）成为了中间的润滑剂，让两个骄傲的超级个体能够坐在谈判桌的两端。  自己走的每一步都算数，如果做不到自己走，那么就请那个走过的人 —— 不夸张的说，Richard在阿布扎比的工作经历和建立的广泛人脉，为促成这一投资发挥了重要作用，进一步巩固了币安在全球市场的地位。  下一个问题是，蜜月期之后呢？ 这个才是考验"
实战推文,2024311881486491731,Thu Feb 19,点赞 21,评分 5.8,这篇文的隐藏关卡  不知道大家看到这句“为你，千千万万遍。”会不会觉得有点奇怪？ 或者说突兀？咋上个币还要千千万万遍～  其实这句话是 《追风筝的人》的经典台词  为了“上币”，千千万万遍 （从项目方视角出发，你就会知道这句话的含金量）  昨日的风，飞不了今天的筝；为你，千千万万遍 （这个才是完整的标题）  你悟到了？
实战推文,2049769615371505703,Thu Apr 30,点赞 23,评分 6.8,看着今天大家都在讨论的 $space ，真的感慨这个圈子的信息差好大的…. 你们在x上喊有啥用啊… 去报警有啥用啊？   上币标准，注册标准，合规标准，交易标准 - 都是不同的合规规范…  看起来有必要给大家来一篇：《合规周期进化论》  让你们知道一级，二级，交易所眼中的合规是什么样子的？ binance被罚40亿是为了啥？  来，现在征集一下本文的研究经费，有要赞助的吗？ 🤣
实战推文,2049726836910018910,Thu Apr 30,点赞 4,评分 5.0,@thecryptoskanda @intodotspace 冷知识：项目是否合规（达到上币标准）与它的募资方式其实关系不大….
实战推文,2033143012507935120,Sun Mar 15,点赞 18,评分 6.4,按照偶对以色列和川普的理解 -  3月17-18 会有一轮停火协定的迹象  19-20会有个会谈还是隔空对话，可能还有个中间人出来维稳啥的  3月21日亚洲时间的凌晨或中午估计又会一轮大规模袭击  先猜到这里
实战推文,2022875338125250811,Sun Feb 15,点赞 28,评分 6.2,难得好文 podcast 值得去听听  比起什么一级的叙事和二级的博弈，价格要看的还是注意力变现的方式和同一时间段同一波资金/算法/预期的共振  很多时候不是市场不看好，只是看好或看衰的资金没有参与而已  另上币还有个商务条款和上币政策的限制，这部分大家看看就好 🤣
实战推文,2017810547904061597,Sun Feb 01,点赞 11,评分 6.5,我自己归类起来是两个不同的模式 一个是过路费模式 pvp ；一个是增值模式 pve  一个是你来交易 没有外部资金持续流入的情况下，交易所赚的每一分钱手续费，本质上都是场内交易者的本金损耗 这就是典型的“赌场模型”——赌客之间互有胜负，但整体资金池因为抽水而不断减少。  这解释了为什么Crypto行业如此依赖“新叙事”和“新韭菜”。因为如果不拉新人进来（吸引外部流动性），场内的存量资金会被交易所、矿工、项目方慢慢抽干。  另一个是购买显卡是为了创造了全新的商业价值赚取外界的钱，这种模式下，Nvidia赚了钱，客户也赚了钱（或节省了成本），整个蛋糕做大了。  目前web3/crypto就是缺乏“外部性”。大多数Web3项目不仅没帮用户赚到圈外的钱，反而因为高昂的Gas费、上币费用等等，增加了开发者的生产成本。  当然，也不能说问题出在于“收过路费”本身，更多的是在于过了这么多年Web3只有收费站（能赚到钱）
实战推文,1961996916104757680,Sun Aug 31,点赞 33,评分 6.2,再来点凉水  这轮上涨周期过后，RWA一定会有暴雷的项目  这是因为REAL WORLD底层的资产仅仅是“借放”在这里，供“展示用途”，而实际归属权/控制权不在手里 - 且不说托管方一爆，就全都完了；资产方愿不愿意履行权利义务都是两说  再补一句，正规的托管费用是很高的，现在市场上冒出的那些“一键合规托管发行rwa“的”性价比“方案都要警惕，你盯上人家便宜的服务费，人家盯上你的本金呢。。。
实战推文,1971948383582724186,Sat Sep 27,点赞 9,评分 5.8,我就说几个好玩的  1. 不要说listing，连post listing的人都不能出去参加项目方的聚会，越核心越是如此，当然老大除外  2.所有对外口的人的tg （以前是slack）都是被监控的  3. 理解提名权和决定权的分工和区别  4. 接下来大概率打的是稳定币  5. 指标是有的，压力也是有的  就瞎写，不是真的
实战推文,1931349858750972217,Sat Jun 07,点赞 4,评分 7.8,输得起，嘛爱知有个来龙去脉，毋通呒目共人信。  有小伙伴说这篇文太长了，那我浓缩一下：  简单来说： 短期来看，因为各种上所预期 ——参与预售和bn alpha应该是个大毛，但是前期的“数据贡献者”就不一定了；  长期来看，核心业务脱离市场真实需求，需要再探索一下；区块链的token model还不清晰  1. 明星项目 = 现象级的AI Sahara 拥有顶级 VC 背书、明星团队和高社区声量，具备现象级行情的叙事模板 - 大概率扛起bnbchain的AI 大旗；  2.社区热度红火和上所预期 各大kol都在转载 @saharaai 相关内容；@buidlpad 的公募可以增加传播度和参与人数倒逼一线大所上币  3. AI 模型痛点早已转向清洗与蒸馏，而非“再来一堆新数据” 真实世界中，AI 企业面对的是数据筛选、清洗与增强的成本问题，而不是“数据太少”。但现代大模型比的是“高质量、结构化、专业数据”，不是数量堆砌，更不是“谁都能贡献”的。  4. @saharaai 的“众包式数据标注”难支撑高质量大模型需求 Sahara 的去中心化数据模式，本质是鼓励大众打标签、上传数据。这类群众生产的数据在技术上并无稀缺价值，无法驱动模型性能跃迁。  大家根据自己的偏好和对项目的认识，选择自己的参与与投资方式，理性对待  有兴趣的自己去看原文：https://t.co/omnJsunEFV   ps：利益相关方，我自己是AI data infra的项目方，Sahara的红火假设能带动整个赛道的起飞，我也是受益者。
实战推文,2080948498795733222,Sat Jul 25,点赞 1,评分 5.0,论怎么看熊市到深处了…  连 Upbit都周末上币了 😂
实战推文,2010002218150441330,Sat Jan 10,点赞 47,评分 6.4,meme就是一个pvp 场内资金也没有大额净流入 假设不上币让外部流动性进来？ 那你挣的是谁的钱？  你会开始赚，然后赚更多，再然后就学会抄底，然后就把利润赔进去，再然后就是本金，再然后就无…  我也希望这次不一样，但好像这次也差不多？😂
实战推文,2007468100837609642,Sat Jan 03,点赞 37,评分 7.5,有钱才能使鬼推磨，你把钱烧了，那谁来推磨？  你去 bnbchain base lighter poly etc… farm不是因为他们烧的多，而是你知道他们手里有钱，有钱=有可能能搞事= 大家可能有的赚  有了这个情绪，二级才有波动的源动力  nvidia破万亿不是因为回购，而是因为兜里越来越有钱  至于他分不分，对于二级来说，根本不重要  上个周期的交易所说自己要burn token做通缩是因为token原来就在自己手上，是一个市场营销费用  你别当真啊
实战推文,1992806167979155726,Mon Nov 24,点赞 3,评分 5.8,@_FORAB 嗯 据传之前的listing和research骨干都打散进入了“公链”和“稳定币”这两个新项目（BU？）  不得不说 @GoKiteAI 的时间点踩的很好
实战推文,1927004390830829892,Mon May 26,点赞 9,评分 6.5,刚才 @GoPlusSecurity 官方发推澄清了这个bug （应该是我从业这么些年第一次看到）   经过审查后，这个 @jager_BSC 的red flag被移除了   “This means NO ONE can actually modify token balances‘  - 说人话就是，权限被打进黑洞，没有人可以更改地址里的代币数了  p/s：事情过了6h，Goplus官方就出来发推说明这个事情，老实说，我还是非常惊讶的  安全公司是第三方机构，一般都是默默改掉状态就行，这次还要发推说明（6h之内），而且又不是付费服务，我翻了一下goplus近期的推，这个貌似是第一例  说明 $jager 有热度有流量，连安全公司都开绿灯了 🤣  https://t.co/CdT0fQWlfj
实战推文,2051189147545825376,Mon May 04,点赞 15,评分 6.9,盘主这个问题问得好  前置条件： 首先你在pancake上有个底池，在alpha的项目至少都有个20万美金的流动性（属于沉默成本）- 这个是listing bn alpha的硬性要求，如果你连这个都没有，估计就离下架不远了  其次是有个perp交易对， @Aster_DEX 就足够了（没有的话，我们一起努努力）  成本： 每个项目方因为赛道，上的所，流动性，流通盘，市值也稍微有所不同  一般来说，对于市值mc（不是fdv啊）500万到1000万的项目，投入大概是市值的百分之五到七的token  有兴趣的小伙伴可以来聊聊哈
实战推文,1906539299660853365,Mon Mar 31,点赞 11,评分 6.5,首先海外负责人是to b和to g，而是不to c，所以对于一般交易员/散户的存在感不强。 其次你很少看到所谓的listing manager出来晃悠，要原因是：合规，次要原因是没有必要 1. 他们不能跟项目方走的太近，要不然就会发生xxx跟xxx见面，所以xxx上币  cb和upbit最怕的不是上错币，而是被监管机构认为有猫腻/勾结/贿赂  2.他们躺着就能赚钱，第一步是怎么不犯错，第二步才是怎么扩张
实战推文,1934457378088612012,Mon Jun 16,点赞 6,评分 6.5,bn alpha这波把上币预期这个“后手”和“厚势”的价值发挥到极致了 - 打到现在都有点像麦当劳的模式了，你以为我卖汉堡，实际上我是地产商；你以为我让你撸空投，实际上我要资沉做包租公  我觉得还有4，因为3的交易需求进入的资产沉淀，造成中文团队的新产品/玩法都会放在bsc上（至少不会放弃）- 至少要1m的资金池  新产品/玩法的出现，造就了产品博弈和进一步流通  cex的估值对于bnb价格来说是极限了，现在要开拓第二世界- 一个不逊于ethreum/solana的公链生态
实战推文,2023428776194191478,Mon Feb 16,点赞 18,评分 5.8,仅以此文祝大家新年快乐，马年大吉  咱不奢求顺风顺水，只求最后能平安到达  比起追梦，先做那个追风筝的人  ps：建议先收藏，等你过年串门无聊的时候再拿出来看看  这篇文值得你读个三遍 ，说的大一些，这是一篇近代上币政策史 🤣 我猜bn内部都没有这种级别的讨论
实战推文,1957288103745654883,Mon Aug 18,点赞 12,评分 5.8,对于短期（24/72h）oi&gt;mc的币，所有叙事皆为拉盘，所有拉盘皆为出货  oi足了，叙事就来了  不是新币的现货不香，只是开盘后的流通盘就这么点，都不够喝口汤的….更别说cover上币市场营销kol空投等的费用
实战推文,1911608266251272657,Mon Apr 14,点赞 8,评分 5.0,@colinwu 哈哈哈 $om 的故事真的有太多瓜可以说了  从上币到换庄 换业务 换团队 换公司主题 换增发机制
