推文ID,发布日期,点赞数,浏览量,综合评分,是否长文,推文正文
2084473995928432985,Tue Aug 04 02:58:22 +0000 2026,16,3859,0.312,否,"为什么说这次的熊市没那么孤单？

这几天听到了好多争执/争议的事情，有人说这就是熊市的规律 - 我就说有没有可能，是因为熊市大家的注意力都不在搞钱，所以就集中在这些跟自己利益不太紧密的事情上，所以这些信息的声量和抓取的注意力才会被放大

但是这波的熊市又跟之前的不太一样，因为还有东西可以炒作和占据大家的注意力，三个原因：

1. 市场上high fdv-low float的spot-perp的妖币模式已经成型，所以大家时不时还能看到一些充满博弈的竞技环境，但是性价比其实很差了；

2. meme，这个就不用再赘述了，meme的起盘与传播力有关，只要传播途径在，这个故事就能绕下去，至于为什么还有人前仆后继，大概是因为上个周期成为了很多人的肌肉记忆吧？

3.美股，不管是链上还是交易所内的，股票交易这个事情占据了大家的心智，都想获得（至少）beta的收益

抚平伤痛的，不是时间，而是扑面而来新事物占据你的注意力"
2017502250445508710,Sat Jan 31 07:36:34 +0000 2026,20,5244,0.297,否,"你们说我写了这么多，有没有什么给币安或者cex的建议？ 

有啊，我提了好几个
b book
api 参数的修改

还有我去年11月写的熔断机制
（本质上是让流动性能进来，防止价格因流动性不足造成错配）

熔断机制正是为了在极端市场环境下提供一个足够长的时间窗口，以解决这些技术、运营和风控障碍 —— 为流动性提供一个呼吸通道。

这就像是对一个气胸的病人（流动性真空），临时插入一根导管（接入场外流动性），清除多余的空气（清算能量），让该病人能挺过去。"
2074057127770153156,Mon Jul 06 09:05:28 +0000 2026,8,5921,0.297,否,"说白了，都2620年，一个交易所有没有牌照这个事情在币圈更多的只是一个门面，一个有银行直联的出入金渠道（之一）

你说你会因为x聚x币有牌照而去它哪里交易？ 你说你会因为binance没有牌照而离开？ 

你说 @okx 在没有拿到牌照之前，我就不信任它？拿到牌照之后才觉得 okx是个可以信赖的交易所？ 根本就不是这样的好伐～ 

相信你，是因为你的结构、你的风控能力、你的兑付能力等等

朴素的说，对于过来人来说，牌照就是个加分项"
2102381791504155005,Tue Sep 22 12:57:34 +0000 2026,10,9797,0.29,否,"我还以为我看错了，100m fdv的机器人项目募资？！确实有点不可思议的便宜。。

这个是放在现在，要是放在牛市，根本就是天方夜谭。。100m fdv啊。。 

不过tge的时候给10%解锁，换句话说就是1b 的fdv开盘才能回本，1b按现在的事情行情看起来真的有点难 

所以关键点就在于正式tge的时间点 - 要是能碰上牛初爆发，加上现在市场上没什么好标的，加上一点机制创新（比如19年的IEO），加上一些rwa元素，应该就很好玩了

anyway 这是一个真·看天时吃饭的局"
2033387085433049413,Mon Mar 16 03:37:14 +0000 2026,55,18705,0.29,否,"市盈率（P/E）本质上是市场对公司未来现金流的折现。

当市场（sk持有20%； 80% 的外资和散户）意识到，SK海力士无论赚多少钱，其实际控制权和资金调配权都死死捏在一个经济利益不完全绑定的家族手里，且这些利润很难以分红或回购的形式地回到自己口袋时，他们自然只愿意出一个“折扣价”。

海力士成为了老崔家的钱袋子

这就是为什么即使在内存供不应求、利润暴涨的周期里，华尔街依然只愿意给海力士不到 10 倍的 PE。"
2023970730967539853,Wed Feb 18 04:00:00 +0000 2026,48,20262,0.29,否,"我说一个冷观察哈

稳定币的爆发临界点大概在120-150亿，到了这个数字，增长就会进入快车道（只要不作死），所以usd1在冲刺，要一鼓作气，哪知道这波操作没打好，有几个细节没把握好，现在有点尴尬了

稳定币生意是属于前期投入巨大，后期marginal cost近乎忽略不计的生意

合规/牌照/安全都是固定成本，只有达到一定量级之后才能cover成本，当你有多余的余粮就能去做更多营销/渠道活动去扩大规模

wlfi为什么这么着急？因为他们知道美国要大规模降息了

美债降息=稳定币收益率下来，假设这个时候规模还没上去，连固定支出都cover不了，那就不用玩了

usdc为啥都不发力？因为他知道降息周期一来，你们这些“新晋”稳定币都受不了

至于什么支付/AI agent叙事嘛，我觉得现在看看就好 - AI要的是token ，稳定币只是token的媒介之一"
2102640568589545837,Wed Sep 23 06:05:51 +0000 2026,28,3366,0.265,否,"有小伙伴问我，做内容写substack能给读者赚钱吗？

不，或者说很难，写机制讲原理是不直接赚钱（或者说让你少亏钱）

一般都是说观点，看好这个，不看好这个，买这个，卖那个… 这个的流量和效果就很明显

然后越短线的操作，效果和流量越好 - 立竿见影啊～

但为啥我还是愿意写原理和机制呢？除了是因为我的水平不够之外，就是观点会随着主客观的条件变化而快速变化，但机制和原理不会

观点不一定能穿越周期，但机制可以

了解机制和原理不能马上爆发（偶尔也可以啦～） 但这个会慢慢累积优势 - 慢慢变富

知其然且知其所以然"
2039954863602454743,Fri Apr 03 06:35:14 +0000 2026,14,4328,0.265,否,"为什么AI必须取代人类？

现在的叙事的标准都看具体的：含“焦”量，以及痛感转化

就是具体对谁（那些群体）产生了多少焦虑，影响群体加起来的净值越高（单位x精制），造成的焦虑感越大（依此递增：出现-协助-平替-取代-毁灭）甚至都能造成“痛感”，尤其是对标/取代的目标价值越高，那么这个叙事的估值就越高

比如16/17年那会儿说区块链要取代银行、货币体系：我去，银行怎么说也要几万亿吧，要取代这个。。这个故事很厉害啊，但是一看这故事基本没打动华尔街，为啥？因为那会儿银行压根不感觉到焦虑。。。

诸如此类的还有什么以太坊杀手，visa杀手，binance杀手等等 - 为什么影响不大，因为ethereum和visa压根就不care，你的焦虑感没办法转成痛感

AI为什么能给市场带来焦虑，估值完全是几何倍增长？你说我们现在的生活没有AI能不能活的好好的，其实也没问题啊 - 但是如果说AI的叙事只是辅助人类，人们就觉得其实也不是那么迫在眉睫，也不是这么可怕，因为人还是主角

但是现在换成了“取代你”，这个打击面就是全人类，而且厂商很聪明，最先影响的是高净值人群（医生/律师/工程师/程序猿等） - 而且现在还在以前所的速度给这些群体造成直接、现实的“痛感” （“焦虑感”像痛感转化）

你吃痛后，你就会疯了一样疯狂追赶，而领先的人看到后面的疯狗，也会疯了一样往前冲（为什么大模型和nvidia这么爽）

其实换个角度，现在换成了AI研究新药、AI研究新仪器、研究基础物理理论行不行？其实也可以的，但偏偏先干的就是这些世俗眼中的“高薪职业”-

因为这个故事的“焦虑感”就不足，因为替代的群体不多、影响的人不多、净值不够高（虽然从人类发展的角度更好，你想想要是有治疗阿兹海默的药出来）

技术本无方向，但是商业有"
2058400266718691607,Sun May 24 04:10:41 +0000 2026,18,3340,0.265,否,"当ct在说离开币圈去美股的时候，我们是站在什么角度说这句话的？

其实就是二级交易 - 交易嘛，就要去流动性足，博弈足和注意力多的地方；如果你是在build/做东西的话，其实真的还好，别这么焦虑

你都知道币圈有周期了，难道美股就没有周期？AI就没有周期？

你认真一想，真的是币圈不行啦？美股又行啦？圈子完了？其实并不是的，美股一直都很可以的，币圈的体量一直都很小，隔壁的池子的鱼一直是多的

只是我们在一个地方待久了，就产生了围城的感觉

只不过这次可能不一样了，ct们不再只是看alpha的机会，还会看这个alpha和策略的天花板在哪里

你要知道你吃到的alpha还是beta - 如果你是现在看着各位博主的信息进入美股，你大概率吃到的beta（因为整体水位一直上升）；但如果你专注在自己的领域才有可能吃到属于自己的alpha"
2090453126025531638,Thu Aug 20 14:57:18 +0000 2026,48,16114,0.257,否,"作为一个老韭菜，我说一个我的亲身经历+观察：

国家一把手喊crypto asset这个事情并不是第一例。。

其实早在2019年10月，中国的国家领导人也说过类似的话（不过指的是区块链技术，而且当时的 $btc 是7400+）

当然你可以说这么多年过去了，etf也有了，基建也有了，交易所也接上股票了 etc - 这次不一样

但我的观察是：
凭什么熊市是各种软磨硬泡、山峦崎岖泥泞不堪。。甚至都一片死寂；
而牛市是平地一声雷，一马平川，一步到位。。
就这个有点反常识的

你可以说现在机构都在进入，国家也在加仓等等，但一步登天，一幕翻牛？是不是好有点太草率了

我说这么多是想说力量正在积蓄，别被特朗普一嗓子就all in
有计划的按照计划执行，没计划的也该开始计划了

在星辰大海面前，你今天投入10还是5的区别不大，重要的是你能一直拿着"
1996549981956890978,Thu Dec 04 11:59:44 +0000 2025,53,48807,0.257,否,"这波总结真快 厉害了 @YeruiZhang 

我补充一下这题：

14. 接下来没项目怎么办，币安不引领叙事（多次强调），只观察发现市场上的财富效应，帮用户吃到VC红利，找小而美的项目，有商业模式吃成长红利，对大VC币恐惧，对叙事不感冒。

—- 原问题是
按照现在bn alpha的上币速度和现在市场的融资环境（一般大项目从融资到发币需要12-18个月），到了2026年q2的时候基本已经没有“大”项目了，那到时候bn要上什么？趋势是什么？

一姐 @heyibinance 的回答其实有好多信息
1. 估值小，融资轮次不太多，vc站台/背书不顶用了

2. 先发项目再发币。让用户能更早参与

3.项目发出来后有收入，现金流

4. 要愿意撒币做空投（重复了n次）

5. vc通过融资顶上去的估值应当由二级市场博弈来决定（回到1）

6. “小而美”不是字面上的“小而美”，小是估值小，美是收入美，说白了就是 revenue/fdv 反而要越大越好

7. 都快2026了，就都别相信叙事了

8.结合对人才需求的context，这个小而美最好还能发生在 bnbchain 上

9.我实在编不下去了 就先这样吧 😂"
2006254607874547921,Wed Dec 31 06:42:27 +0000 2025,7,1158,0.255,否,"@0xcryptowizard 这点我跟巫师的观点不一样
从学习的角度，对于基础的知识结构和技能，还是会要求学生或者同事“手作” - 训练自己的人思维和心性

数学/算法类的，一定要自己去一步步去求导；写文档的话也一定先把大纲、结构和核心论证逻辑写出来"
2098773738942832818,Sat Sep 12 14:00:27 +0000 2026,12,9800,0.25,否,"嗯，我是认为下周fomc不会加息的

简单来说就是4个字：这个时候加？！ 利大于弊，远水救不了近火

别的什么技术指标我就不瞎分析了 - 毕竟通胀还没有到丧心病狂的地步，但是美国政府的债务规模破40万亿了。。当然这也不是说加息，美国政府马上就会爆炸，只是这个压力好大的

而现在加息真的能缓解通胀？也不是嘛～ 问题卡在那个国家和海峡呢，这个时候加，利大于弊

那个就业率数据，明眼人一看就知道之后要修正的。。。

然后最重要的是，要跟Warsh说的话- 反着来

thanks to @gentlemanzhao 的提醒：共和党主张的是小政府 +自由市场的祖训。。"
