推文ID,发布时间,所属板块,点赞数,转推数,浏览量,实战含金量评分,完整推文正文
2097659960033415465,Wed Sep 09 12:14:41 +0000 2026,09_trader_mindset_essays,0,0,0,7.5,https://x.com/i/article/2097272634673385472
2097659773282119978,Wed Sep 09 12:13:57 +0000 2026,04_contracts_stock_perps,18,0,9121,6.5,"那啥， $牛来 上了bn spot的这个我真没有内幕消息
就是单纯从bstocks的角度出发看问题

这两周现货应该就是这两个bstocks的meme了，后续如果效果火爆那就是另说

与其苦苦寻找其他跟stock相关的meme，倒不如就好好看看 $牛来 和 marscoin-4:native 就好

再不然今晚 的 solana:6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN vs $laptop 的脸面之争也会很好玩 🤣"
2097637137307083054,Wed Sep 09 10:44:00 +0000 2026,09_trader_mindset_essays,0,0,0,7.5,https://x.com/i/article/2097272634673385472
2097606003126935617,Wed Sep 09 08:40:17 +0000 2026,04_contracts_stock_perps,33,6,8202,7.8,"有一说一，虽然 $BNC 是个很适合stock perp反馈现货市场的标的，但是美股市场对这个标的真的很不感冒

根据10-K （4月30日）的披露，CEA （ binancecoin:native  的DAT） 持有515,544个 binancecoin:native ，按照750u算，今天的价值差不多在386m 

按照9月8日的收盘价5.25（涨了50%），41,263,850 股普通股流通， CEA这家公司的mc是 216.6 m 

有意思的地方来了：如果你把 Market Cap / BNB Value ，你会发现只有216.6/386 =0.56x
就是这个公司的资产价值 > 市值

你只要花大约 2.166 亿美元，就可以买下一家账上持有约 3.88 亿美元 BNB 的上市公司哦～ 也就是大约 42% NAV discount。 

问题就是，这么明显的“套利机会” - 难道华尔街们不知道？p小将们不知道？为什么还是差了这么远？ 

这中间难道有什么猫腻？有什么暗箱条款？难道是投资者在跑路抛售？还是解锁期限到了？成本价很低？还是说市场对现在的公司领导班子不信任？

是人性的崩坏？还是道德的沦丧？

欲知后事如何，还请听下回分解～"
2097580488563253738,Wed Sep 09 06:58:54 +0000 2026,04_contracts_stock_perps,21,0,20451,8.3,"首先抱歉给各位朋友在8月份带来的substack骚扰～ 真的是抱歉

经过这一个月的吆喝和努力，我的substack的订阅人数突破1000 （此处应该有撒花🎉和掌声👏 ） ，也算是账号的新里程碑

我打算在来临的新加坡token 2049搞一个substack的书友会，请大家过来聚聚，吹吹水，听老登说说自己被stock perp干得体无完肤的故事 🤣🤣🤣  要不我在现场也给大家爆几个大料？～

至于怎么参与？！ 为了维持“尊贵感”
我会私底下发邮件给付费订阅用户们，到时候请各位不要屏蔽substack的邮件就行啦～  而且，各位放心，我不会跟你收费或者借钱的

至于免费的订阅用户因为场地等原因就暂时不好意思啦～ 而且2049这么多活动，我估计各位一定有其他好玩的事情，就别浪费时间在我这个无聊的老登书友会啦

p/s：招商广告：我会在书友会上讲stock perp，如果有人要赞助的，要欢迎pm啦"
2097528759083790788,Wed Sep 09 03:33:21 +0000 2026,04_contracts_stock_perps,44,6,12181,7.9,"好几个小伙伴都不约而同给我发消息：stock perp真的有这么厉害吗？！ 😂 我对于meme反向挤压华尔街的态度大概是25:75，但我真的认为stock perp 100%可以反向带货

接下来就是：stock perp要怎么操作？要上什么标的？怎么利用休市的算法？

大家如果对stock perp的底层算法感兴趣的，可以看看我的substack上对于stock perp算法的三部曲，x上不太合适太技术的东西：

https://t.co/d7rGiysgWg
https://t.co/3RJj9q3iwd
https://t.co/hV8x86o6of

友情提醒：substack的内容对新手非常不友好，就是深入深出，觉得自己没耐心，不愿意自己拿纸笔作计算的人就不要订阅了，别浪费这个钱了"
2097495355848053123,Wed Sep 09 01:20:37 +0000 2026,09_trader_mindset_essays,0,0,0,7.5,https://x.com/i/article/2097272634673385472
1699352781742858602,Wed Sep 06 09:24:10 +0000 2023,09_trader_mindset_essays,18,9,1336,5.0,MarginX 2.0 is coming
1831224342572859842,Wed Sep 04 06:54:40 +0000 2024,05_contracts_mm_token_loan,26,7,687,5.8,"Great vibe l, great people, great community @SUPRA_Labs 
@Purse_Land #purseplus #kbw2024"
1831148650028040506,Wed Sep 04 01:53:53 +0000 2024,09_trader_mindset_essays,24,1,324,6.6,"Looking good @SUPRA_Labs #KBW2024 
We are so ready #pundiaifx https://t.co/xjIwOk0Tcg"
1963192730412367930,Wed Sep 03 10:49:55 +0000 2025,05_contracts_mm_token_loan,12,2,1513,6.6,"Come join us for the night

#pundiai with #TBW2025 
@TaipeiWeek https://t.co/EPNx9QCkGD"
1963187491504374130,Wed Sep 03 10:29:06 +0000 2025,09_trader_mindset_essays,8,0,2349,6.5,"前段时间去日本出差，被小伙伴拉去美术馆和博物馆看展览，无意中见到了传说中的“妖刀村正”

其实村正是刀铭，就是做这个刀的师傅们的称呼（是一群在某个地方的刀匠），这个刀铭转了好几代人，其中初代村正是最厉害的（可以理解为茅台镇）

之所以为成为“妖刀”是因为德川家康禁止使用村正刀开始

据说德川家康的祖辈，亲信，近臣甚至他自己都被村正伤害过，本着世界的尽头是玄学的角度，他就禁这把刀 - 就是远离这个“诅咒”和厄运

well 你越禁止人们越喜欢，但是随后发生的事情却又让人后怕….

据说村正锐利无比，是武士们杀敌（剖腹）的一把利器，也是贵族们装x的神器（就相当于你出门穿个巴黎世家/背个Hermes/开法拉利）这么招摇，必然会出现个寻仇，绑架，家道中落的惨剧

所以大家就开始将不祥之物与妖刀的称谓加在村正身上

well 说了这么多，币股其实跟村正也有好多相似之处- 都是初代无比牛x，之后就不行了；
但凡涉及币股的token，都没什么好果子；
而且在行情不好的时候，是个超级螺旋向下的趋势

所以才取了 妖刀（腰刀）币股这个标题

话说取标题是很有意思的"
1963168013256942078,Wed Sep 03 09:11:42 +0000 2025,09_trader_mindset_essays,81,17,44500,5.6,https://t.co/2i2budZnaX
2095160045747216806,Wed Sep 02 14:40:55 +0000 2026,03_contracts_oracle_pricing,59,11,11753,9.6,"我这篇文是把bitget关于休市期间的stock perp的index/oracle/mark price公式重新拆了一遍。。 

你自己下去看过文档的都知道这是有非常费功夫的事，倒不是有多复杂，而是因为bitget的公式不是集中在一个wiki，而是tm散落在各个不同的地方，甚至还出现上下文/日期前后表述不统一的情况，我还要自己去验证。。。。

这篇文算是对 @bitget stock perp休市算法的详解，不发在x，除了是因为要先给substack的朋友们过过瘾之外，就是太硬核了，不太适合x上的流量 🤣

随便发几个片段/截图给大家瞅瞅，你就知道了有多难了。。一般人没有AI辅助，根本就是在看天书。。

对于普通人来说，其实意义不是很大，但是对于业者/量化/mm/产品/运营，甚至交易所/协议的高管来说，这篇文就很有价值了，别的不说，你至少知道周末的stock perp价格是怎么来的？
甚至进一步，你都能说出 @bitget 与 @binance 的算法的区别和影响。

我敢说，甚至连 @bitget 内部的员工都未必看过这么详细的说明拆解文档，你们有些人甚至可能都不知道是怎么一回事，这篇文收你们50u，实在是太便宜了。。。

传送门：https://t.co/WMAeeYWUh7 

ps：如果你刚好是写合规材料的小伙伴，自行修改文字和脚注，你stock perp的Trading & Market Operations Manual 就有了。。"
2095147524793475498,Wed Sep 02 13:51:10 +0000 2026,01_contracts_scythe_series,0,0,0,7.3,"合约算法镰刀系列（拾陆） 华尔街没有价格的48小时：@Bitget Stock Perp如何接管周末定价 

为什么 @GracyBitget @bitget 敢喊出UEX的愿景？难道是梁静茹给的勇气？！  ))不是啦～ 

《给镰刀一个周末》，给大家讲讲bitget是怎么利用算法和机制实现stock perp的弯道超车

substack上新啦～
https://agintender.substack.com/p/48bitget-stock-perp?r=8gs9xi&utm_campaign=post-expanded-share&utm_medium=web"
2095096881223491857,Wed Sep 02 10:29:56 +0000 2026,01_contracts_scythe_series,10,1,16371,8.7,"合约算法镰刀系列（拾陆） 华尔街没有价格的48小时：@Bitget Stock Perp如何接管周末定价 

为什么 @GracyBitget @bitget 敢喊出UEX的愿景？难道是梁静茹给的勇气？！  ))不是啦～ 

《给镰刀一个周末》，给大家讲讲bitget是怎么利用算法和机制实现stock perp的弯道超车

substack上新啦～
https://agintender.substack.com/p/48bitget-stock-perp?r=8gs9xi&utm_campaign=post-expanded-share&utm_medium=web"
2095029811622334868,Wed Sep 02 06:03:25 +0000 2026,04_contracts_stock_perps,26,0,4779,6.6,"我今晚会发个关于 @bitget 的休市期间stock perp的mark price算法的文章（简版）

看下有没有媒体/平台的朋友感兴趣谈合作的

本文这次是未经许可，不得转载了 😄"
2094998387502535070,Wed Sep 02 03:58:33 +0000 2026,04_contracts_stock_perps,9,0,4317,6.2,"冷知识： $sndk 的衍生品交易量已超过1/3发生在stock perp了，发生在币圈了

nasdaq/nyse开启7*24之后，只会更加利好stock perp的发展，交易量会持续上升，定价权的venue也会逐步偏移

sweet spot不是mag7这种巨无霸，而是2-3000美金的高波动性股。或者100亿以下的小盘股，专心扶持这些，比你盲目上100个都好"
1983577454032908777,Wed Oct 29 16:51:32 +0000 2025,09_trader_mindset_essays,1,0,405,5.8,"@ChillHouseSOL @cz_binance 说cz就不能只说cz
你要说binance的阴晴
你要说bnb chain的圆缺

你还要提 bnbchain 生态的繁荣
还有 $bnb 的巅峰

哦 对了 
还有对用户的好
对教育事业的支持
对加密庞克的憧憬"
1983565994862768631,Wed Oct 29 16:06:00 +0000 2025,09_trader_mindset_essays,42,4,8042,5.0,"有可能是中文CT里少数愿意写小微支付（x402） x  AI payment的因果关系的长文

这种文不讨喜，但是对理解生态和应用却太重要了"
1983565073236066582,Wed Oct 29 16:02:20 +0000 2025,08_macro_first_principles,9,3,5743,6.5,"当我们在说小微支付的时候，在讨论x402/3009的时候，我们到底说的是什么？是基于什么语境context？ 

当你从AI agent和机器人的视角看待场景的时候，其实会有一个很不一样的视角；而从这个视角延展出来，也会改变人类的习惯以及现有的商业模式。

AI也需要学习、也要看新闻、也需要充电、也需要升级etc - 你想想，当AI自己能赚钱（假设开一个数据库买数据，或者做一个类似xiaolin说的频道，或者卖类AndrewNG的课程 ），并且将赚到的钱重新投入到自己身上或者用在慈善/交易（有自主权来决定如何使用这笔钱），这才是真·机器时代 - 这一切正是因为x402等协议的努力才得以实现

AI消费的时候才不会管这些花里胡哨的情绪价值、注意力经济，它们只要价值 —— 注意力经济模型的崩塌近在咫尺，这将重塑互联网环境

我感觉这篇文章的流量和关注度不会很高，但是确实是一个很有意思和远景的话题，乘着 @GoKiteAI 要TGE的风，发出来博君一笑。"
1983554257300406328,Wed Oct 29 15:19:22 +0000 2025,09_trader_mindset_essays,30,3,36898,5.6,https://t.co/waiRRdas7C
1983439689945174352,Wed Oct 29 07:44:07 +0000 2025,09_trader_mindset_essays,22,1,11207,7.1,"水往低处流，打工嘛… 就是来赚钱的
反正到哪里都要受气，背锅，那不如去一个更舒服，钱更多的地儿

至于招工嘛- 精细化之后其实离开谁，这个庞大机器还是可以运砖的，没有谁离不开谁，不外乎是不是可惜

是离职，不是离婚 - 如果不是真的万不得已，指名道姓倒显得小家子气了

不过这篇公开文更像是写给那些蠢蠢欲动的内部员工看的 - 翻译就是，
1. 人家就是忽悠你离职的，你其实离开ok之后就啥也不是啦
2. 我们不怕你走，但是你走了就别想回来了

ps：我猜作为xlayer 001员工应该是有禁止竞业协议的（不知道被开的话咋算），短期应该不太跳去其他地方

pps：英文的“商战”气息更重"
1983430645524377756,Wed Oct 29 07:08:10 +0000 2025,09_trader_mindset_essays,6,0,5245,5.8,"翻译一下
1. 我们没事

2. 群众的反应太热情，所以你怪我太受欢迎咯？

3. 不是每个项目到sz都有这个级别的“待遇”，你们别眼红

4. 回来肯定是会回来sz的，但是最近嘛？还是算了

5. 这次学废了，下次低调一点"
1983429674425536518,Wed Oct 29 07:04:19 +0000 2025,09_trader_mindset_essays,2,0,3443,5.0,"段子翻译一下 🤣 

照片os 今天又是有傻大个送钱的一天

：你的钱包还好吗？ @pasternak 
：劳资特么活得好好的

：是吗？ 看着不像啊"
1983392343769395531,Wed Oct 29 04:35:59 +0000 2025,09_trader_mindset_essays,3,0,1933,5.0,@LanngCrypto 指名道姓这个真的是太迷之操作了。。。
1983386257431638050,Wed Oct 29 04:11:47 +0000 2025,09_trader_mindset_essays,6,0,5211,5.0,"啊哈 如果大家还记得前两周说的循环贷的事情： https://t.co/Z13qPfCePr  

欢迎大家看看，抽空温习一下 🤣"
1983371792715833468,Wed Oct 29 03:14:19 +0000 2025,09_trader_mindset_essays,3,0,1484,5.0,"@thecryptoskanda @LanngCrypto 同疑惑
我跟ok钱包的人聊完之后也是感觉这里面的能人猛将众多，为啥不放开手脚大干一场呢？"
1981005009522463153,Wed Oct 22 14:29:34 +0000 2025,09_trader_mindset_essays,76,5,37090,7.1,"翻译一下就是
1. 现在市场风云变幻莫测，你们这些啥都不懂的菜鸟，就不要在高手场撒欢了，赔了还要我们来擦屁股，输了好像是我们割你似的

2. 承认自己的不足不是坏事，市场没有这么多屠龙少年和版本之子，活下来的都是龙懒得割而已

3. 没事别瞎搞，巨龙不是一条龙，而是一群龙组合在一起，人家有一堆工具/策略/风控，你打不过人家的

4. 没事就嘴撸，先用时间/劳动力换金钱

5.有点钱的做作保本理财，别没事瞎操作，拿到利息之后再去搞，别伤本金

6. 真不是我嫌钱多，不想做你的生意 —— 但是就你这个样子，还是先洗洗再来吧

7. 你看你们把客服搞得，写个推文都战战兢兢，生怕搞出一个meme"
1980967095308636191,Wed Oct 22 11:58:54 +0000 2025,09_trader_mindset_essays,16,0,11161,5.6,"哎呀 被说了 还是删了
看到的就是缘分，没看到的就下次
且看且珍惜 
我移到订阅频道了"
