推文ID,发布时间,JEV评级,JEV得分,点赞量,转推量,浏览量,推文正文,原推链接
2018923092655944123,2026-02-04 05:42:29,A,52,334,40,569952,"这些大厂ceo可能都还没意识到agent普及会带来什么变化，说28年缓解都完全太早了.
我们可以想象成跟个人电脑一样，
你可以只用一块gpu，cpu，但是日积月累你可能需要很多块存储卡，现在这个阶段所有人都保守来，现在的ai没有太强的自主性，你问什么它回答什么，制造数据的速度还不是非常快.

一旦ai普及过渡到agent阶段，那速度可能远超人类制造数据速度的百万倍，完全的自主性，无眠无休.
可能超越人类百倍千倍的输入速度，不断电不停止，单日的总输入输出量将会是现有人类的百万倍不止.

他们这些ai巨头老板还在以现在常规的一问一答形式的ai对话形式的来计算存储需求，
实际从开源agent助手clawdbot出现那刻开，最近几年的存储需求都要开始被重估.

你用gpt，用deepseek或者豆包gemini，他的存储需求在你短暂的一问一答后就结束了.
clawdbot这种agent助手则完全不是，在你下达任务后，无眠无休24小时狂干，直到你上去检验满意为止.
这二者中间的数据量是天壤之别，唯一限制存储的就是物理世界的存储产能和与ai相匹配的电力了.",https://x.com/xiaomustock/status/2018923092655944123
2019511139605058021,2026-02-05 20:39:11,A,50,1071,104,489284,"腾讯这次真有危险了.
非常多的人在用飞书不需要跳转直接部署自己的clawdbot.
字节的抖音，字节的豆包，字节的ai办公聊天软件飞书.
而腾讯的微信则还在无动于衷，逼迫用户wechat转接telegram才能用上clawdbot.
一旦大家都长期形成使用飞书的习惯，
微信到时候也不是不可以抛弃，类似抛弃qq. https://t.co/m6Qy2ASonu",https://x.com/xiaomustock/status/2019511139605058021
1912178824768626770,2025-04-15 16:18:53,A,50,722,177,726354,"15万刀最高亏着剩8万多了最近，抽个大的，提1万5千美金抽奖抽出去，一人给1000u.
总比亏掉强.
发你们的视频自拍，说自己的推特名字.
我看颜值抽
5个帅哥
5个美女
5个丑逼.
每人1000刀.
4.18号凌晨截止. https://t.co/ub5XszauZn",https://x.com/xiaomustock/status/1912178824768626770
2021646199422628183,2026-02-11 18:03:08,A,50,590,36,540589,"这就不得不提雷军了，当年雷军先搞出来了一个米聊，当时买小米的都是学生党工薪阶层，资金不多，打电话那时候话费还是很贵，我那会也是学生。话费真是负担不起，但是米聊不一样，可以直接连wifi打语音，不用花话费，当时瞬间米聊就火了，雷总当年还在米聊开直播发红包.

腾讯看到了手机用户用手机号作为联系人，用wifi流量作为打语音沟通的巨大潜力.
立马让张小龙复刻一个
用手机号注册手机号添加联系人的界面仿qq创意抄米聊的微信出来，
再配合大王卡手机卡免腾讯软件流量，
qq用户无缝衔接导入微信，
直接把米聊干死了.

这就有了今天的全民微信.
腾讯抄袭的基因从来没变过，目前也就抖音对微信威胁大，而且在不断加大，
等老登都去世，下一个20年肯定是抖音成主要聊天社交软件。

现在年轻人都喜欢跟好朋友在抖音天天续花火。不怎么聊天但也喜欢分享一堆视频。
他们可能微信上没沟通交流，但抖音每天肯定有。

唯一阻碍字节革腾讯命的就是老登群体太庞大.",https://x.com/xiaomustock/status/2021646199422628183
2046861439676321942,2026-04-22 07:59:30,A,50,398,48,116893,"一定要少去饭店吃饭或者点外卖，几乎所有饭店或者辣条零食用的都是用浸出法提炼的食用油。
方法就是用碳链长度为6的正己烷C6H14环己烷（c6h12）的6号号轻汽油浸泡大豆，用俩个沸点不一样，分离。
但是这种工艺里面化工杂志特别多，油会有一股臭味，就会经过很多次的高温化学提纯，不仅微毒长期致癌还没油香。
这油在商店超市是买不到的，专门给餐馆和食品厂供。",https://x.com/xiaomustock/status/2046861439676321942
2088252084437323966,2026-08-14 13:11:09,A,50,380,58,164588,"cpu必然会发生和2026年跟存储发生的结构性需求缺口。
现在cpu和gpu的配置需求是1/8，
随着各AI大模型公司下场AI代理，代理需求催生的高端cpu需求会在2-3个季度内快递被爆拉到1/1。八倍的需求提升，而高端cpu的产能完全不可能在最近的2个季度内实现产能8倍提升。
cpu需求的爆发点很接近了，
从这个季度英特尔的高端cpu挤压低端cpu产能可以看出这种变化正在加速。
最快今年年底最慢27年q1就能看见cpu大幅提价，复刻存储26年行情。
也就是只剩下3-5个月时间窗口了。",https://x.com/xiaomustock/status/2088252084437323966
2053888108672786444,2026-05-11 17:20:59,A,50,350,39,70185,"每个人一生有且仅有一次的AI浪潮革命，
对整个人类也是有且仅有一次解放智力的AI革命，
换句话说相当于瓦特发明蒸汽机，别人看见机会搞工厂纺织，你还在家手搓织布。

如果放眼整个人类历史，这一年的机会成本高的可怕，资本每浪费的每一天，都是很难再从以后的历史机遇里找回来。

但从另外一个角度，如果这个过程是AI取代人类，那么我们投在AI的每一分钱都在加速毁灭，“历史的罪人？”😂",https://x.com/xiaomustock/status/2053888108672786444
2060613274958246220,2026-05-30 06:44:23,A,50,336,38,228432,"面向AI的AI PC电脑最主要的需求是什么，肯定还是海量的存储，远超常规电脑PC数倍百倍的需求。
个人用电脑一天打不了几个字，上班摸鱼8小时，
AI用电脑，多线程打满，疯狂输入输出，
持续不断无眠无休24小时。
存储给多少都远远不足。
AI PC 跟人用PC之间存储需求的差距可能是百倍千倍万倍，倍数差距只取决于你给他提供了多少存储，多少都不够。
只要存储够大，他就有空间能给你干更多更多的活。",https://x.com/xiaomustock/status/2060613274958246220
2048592504698941794,2026-04-27 02:38:08,A,50,295,34,151669,"兄弟们坚持到现在了没有。4月底了。

绝大多数股票不仅涨回来了，几乎都新高了。
美伊打个仗又不是AI不搞了，去年关税战也一样，AI的变革浪潮会继续狂暴。
这种事情以后肯定经常有，25年关税战，26年美伊战，27年……
只要自己在增长和营收最猛未来最有想象力的AI股票里，所有事件都是给机会买入更低价格筹码的机会，都是上涨路上的涟漪。",https://x.com/xiaomustock/status/2048592504698941794
1755097598363578724,2024-02-07 05:14:10,A,50,282,33,1159743,"不会去建群，不会私聊任何人，不会跟任何人要钱搞收费，没电报，不可能收徒，没小号，没其他平台账号，就这一个。纯做交易，其他什么都不弄，也不去小交易所交易，只在币安和ok还有链上交易，遇到以上以我名义的都是诈骗，都是骗子，都是人渣。谨防上当受骗，这些人都是骗子，不再回复仿号关注仿号私信是不是我，全是骗子，动脑子想想。
所有本号内容也仅仅是交易记录和策略思路记录，没有任何投资建议。",https://x.com/xiaomustock/status/1755097598363578724
2075873886185697351,2026-07-11 09:24:36,A,49,369,21,205666,"我觉得只要客户能证明不是自己操作的，平台就该赔，不然我为什么放你这。
如果是支付宝ai换脸，手持验证钱被盗了支付宝赔不赔？
@Gate  你是真牛逼你不赔？没操作所有安全项都开了钱都能丢我钱为什么放你这，有啥安全保障？ https://t.co/XB5fp4Y12h",https://x.com/xiaomustock/status/2075873886185697351
2020711439309361334,2026-02-09 04:08:44,A,48,524,117,82531,"我来写一篇史上最简单的安装clawdbot教程.
1.打开mac电脑终端.
2.打开gemini官网https://t.co/h4j72eXoBv
3.告诉它你要安装clawdbot，然后把他给的代码复制到电脑终端.
4.出现任何问题，把终端代码复制给gemini，
然后根据gemini给你的方法或者代码继续安装！
5.over！安装完成.
过程中你什么都不需要单独搞单独记忆，单独打字！😂
这才是AI时代的正确安装方式，
什么教程都不需要你查阅，太low！",https://x.com/xiaomustock/status/2020711439309361334
2048701616988016765,2026-04-27 09:51:43,A,48,303,49,184452,"木头姐在周五甩卖了 $AMD ，
然后ipo价购入了 $XE 总计1亿多美金，
流通盘只有10亿美金，大股东又是亚马逊。
被木头姐这么买的前一只股票是 $CRCL ，短时间爆拉了五六倍。
$XE 的核电在手订单和落地速度明显强于ppt的oklo。 https://t.co/I0nnF1czTR",https://x.com/xiaomustock/status/2048701616988016765
2047730454783316077,2026-04-24 17:32:40,A,48,297,61,277705,"$XE 今天刚上市的核能公司，热度较低。
2024年由云服务商亚马逊牵头支持了5亿美金。
该公司以小型模块化反应堆（SMR）为主，体积更小，设计上也比传统的大型反应堆更具成本效益，而大型反应堆的建造可能需要数年时间。X-Energy正在开发其Xe-100反应堆，该反应堆使用氦气而非水作为冷却剂。 https://t.co/xID016fTFx",https://x.com/xiaomustock/status/2047730454783316077
2003748949396721695,2025-12-24 08:45:52,A,48,108,10,95127,"朋友发来的谷歌文档，
假设 NVIDIA 在 2025 年出货 50,000 台 NVL72 机柜，这将带来约 100 吨 的新增
工业白银需求。这对于年产
约 2.6 万吨的全球白银市场来说，是一个 0.4% - 0.5% 的边际增
量，具有积极意义，但不足以单独引爆银价的“逼空”行情。
所以白银为什么暴涨，有没有理解这波行情逻辑的说一下原理.",https://x.com/xiaomustock/status/2003748949396721695
2070469129996324930,2026-06-26 11:28:02,A,47,228,26,73524,"AI有泡沫，但AI没有丝滑的取代所有白领的工作前就不可能破。路途遥远。
所有的脏活累活AI机器人干，
所有复杂耗时的脑力活动AI干，
现在的agent还很弱智。
现在的AI也没有普及进入每个人的生活，
你们现在所从事的工作没有被AI取代，
说明AI的泡沫破灭还路途遥远，
AI都还没理解物理世界，
只在文字层面和虚拟空间挣扎，
跌一跌的很正常，
真到哪头满大街的机器人外卖员，
机器人服务员，机器人厨师，
所有的科技创新，创意，AI最终都会比人类干的更好，但现在远远没有，
等吧，泡沫最起码也是agi来临后。",https://x.com/xiaomustock/status/2070469129996324930
1781160323376144624,2024-04-19 03:18:08,A,47,135,18,110438,"很多人觉得以色列每天铁穹防御系统花废数亿美元很耗钱。
但是有没有一种可能，以色列之所以把中东这些邻居都打了，他们个顶个的都是产油大国，会不会以色列很早就一直在做多原油。

每天花出去的钱，跟金融市场的收益比起来，九牛一毛。之所以没有立马袭击伊朗，说不定就是用多个交易日在加杠杆做多石油，建仓完毕，然后才对伊朗今天下手袭击。

犹太人控制着多个国家的金融系统，他们对中东这些国家真是降维打击，用战争以外的策略早就把战争损失无数倍的赚回来了。",https://x.com/xiaomustock/status/1781160323376144624
2052041193941291318,2026-05-06 15:02:00,A,46,585,127,347502,"看到一对比图，把2000年的互联网浪潮和22年gpt开启的AI浪潮作涨幅对比。
现在是第858天，崩盘时间是1330天。
据此到崩盘点还有数倍涨幅，时间472天也就是对应到27年年底最顶峰还有一年半。
看完这个图心安了不少。 https://t.co/CoZJvJSzfb",https://x.com/xiaomustock/status/2052041193941291318
2049321211117846716,2026-04-29 02:53:45,A,46,233,22,182870,"看到比较有意思的一家公司，#湖南裕能，
财报显示 #宁德时代  在一季度买了7.88%的股份。同时公司一季度报也爆增超过全年利润。
说明宁德时代开始对上下游公司采用直接入股的方式来巩固自己在电力行业的统治地位。 https://t.co/5oSRDaEE4H",https://x.com/xiaomustock/status/2049321211117846716
2083481209561141749,2026-08-01 09:13:24,A,46,135,14,87095,"刚进入8月还有一件大事，AI界的卷王DeepSeek正式更新V4 Flash ，ds flash已经逼近GLM-5.2，价格只有十五分之一。
ds 的Coding Agent和软件工程能力大幅提升，在终端操作、代码仓库修改和复杂开发任务上的表现明显增强；
ds的AI Agent和工具调用能力明显增强，更适合连续执行多步骤任务；
针对Codex也做了适配，更方便接入各类AI编程和Agent工具。
这次升级是冲着Coding和AI Agent来的，
而且pro版本也很快要发布，那到时候真是要准备对着Cladue的核心coding业务干。

最值得关注的点是ds只用了2840亿参数就实现了接近对手万亿参数规模的智能水平，
全世界可训练参数规模再往上堆可能也就kimi这种2万多亿，他们参数堆到极限再往上空间不大了。但ds还有10倍的堆参数空间，正儿八经的性能优化调参的工程级卷王。

这一波不仅冲击了国内模型定价连带也必然冲击了国外ai的定价，如果ds 的pro版本coding能力逼近claude和openai，那么他俩的高价也必然无法维持都得降价。

降价就会被动带来海量的用量提升，数据存储压力倍增，对存储又反而是利好。市场对存储最大的担忧就是长鑫这条鲶鱼，而不是对存储需求的担忧。但实际这种担忧对业绩的影响是远期的，这种利好和利空的左右脑互搏，市场肯定会上下来回震荡，直到存储紧缺到市场所有人都难受的时候，可能路径才会再次明确。",https://x.com/xiaomustock/status/2083481209561141749
2064210997590524098,2026-06-09 05:00:27,A,45,456,52,222523,"高频短线交易则是停留在打工人思维，想着靠短线每天挣点，除非你是天选打工人，否则很难发财甚至大部分人都肯定最终亏钱。

而长期持有只在特定情况调仓是老板思维，
如果你的眼光和认知配得上你的财富，拥有足够远见，则早晚必定发财。 https://t.co/HZ1YwXelUJ",https://x.com/xiaomustock/status/2064210997590524098
2089220928840548847,2026-08-17 05:20:59,A,45,333,44,131164,"始终坚信这一条，
如果机会足够伟大，
绝对显而易见随时都能上车，
而不会因为某个人是霉逼或者某个人某类人是反指而买入就下跌。
万事万物中的伟大机会都会遵循这个原则。
如果没有遵循说明不够伟大很垃圾。",https://x.com/xiaomustock/status/2089220928840548847
2078865618779205687,2026-07-19 15:32:41,A,45,292,23,145303,"再牛逼的模型，想把模型实力转化成收入，
那你就必须要有海量的内存卡和推理卡，
不然破天的富贵你把握不住，
所以你说内存和推理卡缺不缺？
kimi再牛逼能怎么样，富贵来了新增订阅都接不住。 https://t.co/PXKbuIwOOQ",https://x.com/xiaomustock/status/2078865618779205687
2046767586696982908,2026-04-22 01:46:34,A,45,277,44,328000,"亨通光电600亿的营业额毛利起来肯定非常恐怖，现在营收利润是基于13%的销售毛利来的，如果按照纤棒6倍价格，毛利说不定就是60%了，600亿营业额说不定变成2000亿。
直接一年利润赶上半个市值。
这股价还是太便宜了。 https://t.co/PnNKJ6p3pD",https://x.com/xiaomustock/status/2046767586696982908
2102233613287014700,2026-09-22 03:08:45,A,45,158,14,136135,"$META 和腾讯暴涨本质都是因为agent，
但是真要找一家纯粹的agent公司非常难，市场里基本上没有，之前meta公司收购的manus如果香港上市可能是唯一纯度100%的agent智能体公司。
不过神奇的点是腾讯居然又是manus最大股东….. https://t.co/KiQNELotGe",https://x.com/xiaomustock/status/2102233613287014700
1943573255832637945,2025-07-11 07:29:08,A,44,2318,217,1599953,"马斯克昨天开除了他grok团队仅剩的一个白人，剩下全是华人了.
本来图片流传出来的时候还有5个白人面孔，现在一个都没有了.😂 https://t.co/UeXKAExatJ",https://x.com/xiaomustock/status/1943573255832637945
1931690697402495278,2025-06-08 12:32:05,A,44,1921,145,1956384,"这案件搞的俩性关系越来越离谱了.

女追男，出去约，男的问女的同不同意，女的不同意，男的走了，女的告男的强奸，犯罪终止，8个月. https://t.co/6CDDQm9ks2",https://x.com/xiaomustock/status/1931690697402495278
1976215167739531487,2025-10-09 09:16:26,A,44,1691,242,485795,"富途的这个功能挺好，
可以看见每个大佬的持仓分布和持仓比例.
木头姐的收益是最吊的. https://t.co/8OI1tPVmmM",https://x.com/xiaomustock/status/1976215167739531487
1999019769648001051,2025-12-11 07:33:47,A,44,485,37,133334,"币安自己给自己树立了一个，舔币安就能发财的例子，然后上上下下全是跟风疯狂舔，

放佛好像一个巨大无比的餐桌上，坐着十几个穿着西装的猪头🐷，对着桌子上菜品狼吞虎咽，地面上是他们嘴里吐出来的一层层白骨.

现在币安上上下下里里外外的状态，跟当年全球第一所火币一样，李林身边到处都是马屁精，员工和关系户一门心思用火币的牌子捞钱，
最终身边一大堆硕鼠肥是肥了，但火币也黄了凉了.",https://x.com/xiaomustock/status/1999019769648001051
2063822541286785098,2026-06-08 03:16:52,A,44,402,24,385624,"#优必选  开售了仿生机器人U1，定位情感陪伴与人体交互，仅限18岁以上成人购买。
搭配了养成情感大模型，本地存储记忆，
外观与规格：分男款和女款。
男款：身高 183 厘米，重量 42 千克。
女款：身高 168 厘米，重量 35.2 千克。
均配备 88 个自由度，旨在实现更自然的肢体动作。 https://t.co/CMT7Ml48m8",https://x.com/xiaomustock/status/2063822541286785098
2049707179561676821,2026-04-30 04:27:27,A,44,290,25,156481,"谁能打得过谷歌？
谷歌一个季度掏出来600亿砸了AI里面，账上还能剩下25亿利润。
马斯克的grok，奥特曼的openai，claude，这三家拿啥跟谷歌干，一个季度能掏出来600亿美金么。
马斯克的故事都很宏大，算利润的时候连谷歌的零头都不到。
gpt核claude营收都没600亿美金别说利润。
最终大概率谷歌吃掉一切。",https://x.com/xiaomustock/status/2049707179561676821
2030155664857911374,2026-03-07 05:36:43,A,44,202,20,63400,"上门安装openclaw不是啥好生意辛苦钱。
如果把所有工作种类职能变成skills，
生成可以固定干具体工作的模块化龙虾。
批量打包卖给一些中大型公司，
给他们建立完整的agent工作流。
估计一单能赚几十万上百万。
而且可以重复卖，
固定好模块化的东西卖无数遍。
一年下来赚几千万都问题不大。绝对蓝海尤其是今年，一定要想着赚有钱人的钱。",https://x.com/xiaomustock/status/2030155664857911374
2039180157941170262,2026-04-01 03:16:50,A,44,109,7,214155,"一涨一跌很多人观点都不一样了，
这波跌的利润全无，很多人出于好心发私信给我说存储三巨头到头了，
但我还是坚信无眠无休Agent会带来天量的数据存储需求，我不是特朗普没法掌控市场波动，只能长期斗争最终看输赢了，所以我的置顶也不想变。
我默默装死看日后AI怎么变化，
AI真正站起来说话的时候应该是席卷全球的裁员浪潮，公司里上班的不再是程序员而是一个个用着各行各业标准化skill的agent。",https://x.com/xiaomustock/status/2039180157941170262
2022748986130731322,2026-02-14 19:05:13,A,43,358,69,79472,"给我的龙虾牛马布置了一个追踪投注polymarket的任务.目标让它从1000美金干到100万美金😂
下一个赚钱任务打算让他写一套模型针对高波动率的存储股，根据价格波形的每次波谷自动寻找最安全兼顾收益最高的价格位置卖当周put. https://t.co/bciDNQwaUQ",https://x.com/xiaomustock/status/2022748986130731322
2038281666112995401,2026-03-29 15:46:33,A,43,298,55,208566,"币安放着钱的小心了，赶紧提走卸载保平安。
有人账户被冻结，多次问币安也没给任何原因，就是直接冻，
正常如果是司法冻结基本上会告知，
这位提交币安要求的相关资料后，审核周期还被无限拖延。币安自从市场份额下降离转变成吃客损的黑所不远了。",https://x.com/xiaomustock/status/2038281666112995401
2096841189639200968,2026-09-07 06:01:11,A,43,169,7,67731,"最近关注到国内正在发生的一个AI对家境不是很富裕的学生非常不友好的地方。
很多学计算机专业搞编程的学生他们最大的困难不是学不会，而是老师已经开始需要学生带token资本上课，一个AI相关的教学课程下来，可能token费用要赶上他们学费了。

这估计只是高校课程紧跟AI适应社会真实需求的开始，各种学科专业慢慢都会涌现这样的课程，全程可能老师都教学生用AI代理完成他们的课程任务，可能是生物学，可能是工程学，设计，数学，信息等等。

以往这些学生只需要负担一个学费，
现在他们需要额外负担老师教学的token成本这可能远远大于他们的学费和生活费成本。
如果你家境贫寒或者仅仅是普通，那么最终的学习成绩都会被班里token开支富裕的学生碾压。

以后普通人报学校可能首选的是能给更高token免费额度的学校就学。
这可能是是未来全球所有普通学生需要面临的问题，普娃危机。",https://x.com/xiaomustock/status/2096841189639200968
